"","saleprice","gdistance","wdistance","cdistance","bathrooms","bedrooms","sqftbuilding","sqftlot","age"
"2298",154000,7847.27490234375,26688.388671875,139.190994262695,2,4,1862,7799,1
"2299",171000,7866.8681640625,5463.80810546875,260.648986816406,2,3,2199,6600,11
"2300",78000,10948.1201171875,5611.90185546875,586.106018066406,2,3,1812,5450,18
"2301",36000,7891.75,2140.29907226562,1715.52600097656,1.5,3,1080,5050,24
"2302",105000,15620.36328125,3415.34594726562,1471.27697753906,2,3,1841,11022,41
"2303",245000,10991.765625,1281.5439453125,1133,2,2,2155,8988,14
"2304",49500,11126.751953125,850.309020996094,465.197998046875,1,2,894,6000,58
"2305",80000,7860.72900390625,5982.7001953125,62.6020011901855,1,3,986,5939,41
"2306",153000,13280.1005859375,3171.62109375,1531.40502929688,2,3,1347,19751,6
"2307",82500,10699.9765625,1160.18395996094,2501.52294921875,1.5,2,1408,6250,47
"2308",75000,10308.6162109375,9620.435546875,12.4119997024536,2,3,1420,6130,18
"2309",59000,13396.6474609375,4297.0478515625,139.386993408203,1,2,1104,8463,13
"2310",171000,15390.90625,1702.76196289062,2745.8701171875,2,3,1720,6047,8
"2311",89000,11597.5751953125,2288.96997070312,1547.35498046875,1,2,1107,6300,54
"2312",139000,8643.798828125,13883.2265625,279.376007080078,2,4,1516,6500,13
"2313",140000,2529.87890625,11919.9130859375,1391.59497070312,2.5,4,1567,5739,15
"2314",93000,11024.443359375,1547.84899902344,2350.42602539062,1,2,1121,5450,54
"2315",163500,15195.4091796875,4584.06201171875,257.273986816406,3,3,1966,9401,33
"2316",108000,8275.2412109375,4966.2958984375,461.734985351562,1,1,1334,6640,42
"2317",47000,7407.46484375,3255.48510742188,334.559997558594,1,2,833,7474,44
"2318",180500,5878.10009765625,14149.9990234375,1290.88793945312,3,4,1950,6289,3
"2319",90000,11120.7421875,1657.33203125,2208.96997070312,1,3,1243,5750,48
"2320",81000,5174.7021484375,6566.509765625,971.348022460938,1,3,1008,5000,36
"2321",125000,2022.13000488281,12487.25,829.450988769531,1.5,3,1150,6300,36
"2322",97000,6546.81298828125,14635.818359375,865.760009765625,1,3,942,5495,21
"2323",280000,2721.57690429688,10830.880859375,110.056999206543,2,3,2412,8926,16
"2324",139000,12897.6142578125,3688.9130859375,1096.55297851562,2,3,1594,10713,2
"2325",107000,12604.11328125,3736.88989257812,1038.42297363281,2,3,1835,8596,18
"2326",1e+05,12172.427734375,1913.59802246094,2858.93310546875,1,2,1044,5157,73
"2327",116500,4118.498046875,10513.1474609375,987.106994628906,2,4,1441,5100,42
"2328",176000,3797.97802734375,11593.80078125,616.755981445312,3,4,2250,6357,8
"2329",107500,4999.34912109375,6888.2958984375,607.056030273438,2,3,1634,5900,23
"2330",83000,10502.8984375,793.051025390625,1453.27294921875,1,3,1035,7475,37
"2331",127500,3866.99291992188,10909.060546875,972.02099609375,2,3,1137,6540,6
"2332",172000,3542.51098632812,10991.00390625,718.159973144531,2,3,1867,6050,26
"2333",206000,14849.38671875,1589.7080078125,928.046020507812,2.5,3,1976,15507,23
"2334",320000,1290.25,13827.6533203125,140.567001342773,3,4,2667,30056,13
"2335",121500,2584.7509765625,10629.587890625,34.2630004882812,2,2,1308,7644,35
"2336",55000,8261.2138671875,25865.33984375,350.792999267578,1,1,630,4400,74
"2337",165000,4474.42822265625,11874.8974609375,229.772994995117,4.5,5,4096,20037,23
"2338",120000,11329.63671875,4392.630859375,1169.01196289062,2,3,1511,6500,12
"2339",129000,5081.9931640625,6526.30712890625,1085.8310546875,2,3,1267,6600,3
"2340",86000,15028.345703125,4766.34521484375,46.4710006713867,1,3,1134,8400,40
"2341",330000,4248.68701171875,12100.9111328125,621.567993164062,3.5,5,3218,18958,17
"2342",147000,12165.3583984375,4146.98095703125,791.843017578125,2.5,4,2045,7779,13
"2343",65500,9582.28515625,3083.01806640625,1143.13195800781,1.5,3,1159,5000,20
"2344",80000,11884.3583984375,2609.1220703125,1247.82397460938,1,2,1188,7500,63
"2345",86000,11345.6865234375,1028.49304199219,3242.4169921875,1,2,1408,5050,62
"2346",213000,1367.87805175781,13101.8427734375,320.519989013672,3,4,2077,4385,1
"2347",129500,3286.31811523438,11170.349609375,1686.625,1,3,949,6600,37
"2348",172000,3034.38403320312,14231.51953125,419.966003417969,2.5,3,1808,4030,5
"2349",211500,4554.171875,10788.2314453125,240.789993286133,3,4,1950,6334,1
"2350",160000,8164.65087890625,4350.63916015625,302.140014648438,2.5,4,1810,6828,1
"2351",70000,14098.458984375,2312.02587890625,1939.26904296875,1,2,817,7320,52
"2352",40000,8164.97216796875,2211.21801757812,1792.63305664062,1,3,1116,5005,43
"2353",165500,3759.7080078125,6050.30517578125,31.0300006866455,3,4,2139,6028,1
"2354",235000,15304.2451171875,3090.65795898438,2458.07690429688,2.5,4,2466,6933,15
